title,artist,album_artist,album,plays,musicID,trackNo,diskNo
Grind,Alice In Chains,Alice In Chains,Alice In Chains,0,765D35A3E7C7BE22,1,1
Brush Away,Alice In Chains,Alice In Chains,Alice In Chains,0,F0E18433A011954D,2,1
Sludge Factory,Alice In Chains,Alice In Chains,Alice In Chains,0,DD2804875C2CCAF0,3,1
Heaven Beside You,Alice In Chains,Alice In Chains,Alice In Chains,1,829171508E4411AA,4,1
Head Creeps,Alice In Chains,Alice In Chains,Alice In Chains,0,7FFAAA383BFB7388,5,1
Again,Alice In Chains,Alice In Chains,Alice In Chains,0,817B3C54D0CC6A97,6,1
Shame In You,Alice In Chains,Alice In Chains,Alice In Chains,1,7071148167F89C5C,7,1
God Am,Alice In Chains,Alice In Chains,Alice In Chains,0,F1D3299C78D273C6,8,1
So Close,Alice In Chains,Alice In Chains,Alice In Chains,0,51FF835C84A45B21,9,1
Nothin' Song,Alice In Chains,Alice In Chains,Alice In Chains,0,29062DBDCE0E2B59,10,1
Frogs,Alice In Chains,Alice In Chains,Alice In Chains,0,19B842DED829151D,11,1
Over Now,Alice In Chains,Alice In Chains,Alice In Chains,0,33B637C1A1832940,12,1
Them Bones,Alice In Chains,Alice In Chains,Dirt,0,8E914FB570C6FAF2,1,1
Dam That River,Alice In Chains,Alice In Chains,Dirt,0,A6E25DEE810A174B,2,1
Rain When I Die,Alice In Chains,Alice In Chains,Dirt,0,DFD0296888F5D1B0,3,1
Sickman,Alice In Chains,Alice In Chains,Dirt,0,DF95B8B7BBF16F94,4,1
Rooster,Alice In Chains,Alice In Chains,Dirt,0,3A4F68D9D6FDA7DC,5,1
Junkhead,Alice In Chains,Alice In Chains,Dirt,0,A31519AF8195EAB0,6,1
Dirt,Alice In Chains,Alice In Chains,Dirt,0,F9322476FCFAD1DE,7,1
God Smack,Alice In Chains,Alice In Chains,Dirt,0,F78EAE75310E4913,8,1
Iron Gland,Alice In Chains,Alice In Chains,Dirt,0,AA9E6A3CED03F826,9,1
Hate To Feel,Alice In Chains,Alice In Chains,Dirt,0,DBB1E9EAE7648191,10,1
Angry Chair,Alice In Chains,Alice In Chains,Dirt,0,3DF2E0D195B626DB,11,1
Down In A Hole,Alice In Chains,Alice In Chains,Dirt,0,823355611030D45A,12,1
Would?,Alice In Chains,Alice In Chains,Dirt,1,A5622BECE6CC08A3,13,1
We Die Young,Alice In Chains,Alice In Chains,Facelift,0,3ABB3E9F373B81E1,1,1
Man In The Box,Alice In Chains,Alice In Chains,Facelift,0,DB867D200419472D,2,1
Sea Of Sorrow,Alice In Chains,Alice In Chains,Facelift,0,4AF6304781239A7A,3,1
Bleed The Freak,Alice In Chains,Alice In Chains,Facelift,0,BF1B40FFDCAEE735,4,1
I Can't Remember,Alice In Chains,Alice In Chains,Facelift,0,6198B3D88C2F8C49,5,1
"Love, Hate, Love",Alice In Chains,Alice In Chains,Facelift,0,6F74288CC1870DF9,6,1
It Ain't Like That,Alice In Chains,Alice In Chains,Facelift,0,77D0509823C47A60,7,1
Sunshine,Alice In Chains,Alice In Chains,Facelift,0,34243E16C9020183,8,1
Put You Down,Alice In Chains,Alice In Chains,Facelift,0,745F4CCA53160394,9,1
Confusion,Alice In Chains,Alice In Chains,Facelift,0,1F84D26DD15437ED,10,1
I Know Somethin (Bout You),Alice In Chains,Alice In Chains,Facelift,0,E097D4BE734E4A45,11,1
Real Thing,Alice In Chains,Alice In Chains,Facelift,0,5CEB2E85B945B57F,12,1
Rotten Apple,Alice In Chains,Alice In Chains,Jar Of Flies [EP],0,9337D2CFA3B143A6,1,1
Nutshell,Alice In Chains,Alice In Chains,Jar Of Flies [EP],0,949F98A05426B7FA,2,1
I Stay Away,Alice In Chains,Alice In Chains,Jar Of Flies [EP],0,B5D2EB53BE4831B8,3,1
No Excuses,Alice In Chains,Alice In Chains,Jar Of Flies [EP],0,7D54C89ED7326FE0,4,1
Whale & Wasp,Alice In Chains,Alice In Chains,Jar Of Flies [EP],0,15E43EF5E28BCB3B,5,1
Don't Follow,Alice In Chains,Alice In Chains,Jar Of Flies [EP],0,0DE81B133E61882C,6,1
Swing On This,Alice In Chains,Alice In Chains,Jar Of Flies [EP],0,2754829CDAFDDC71,7,1
Get Born Again,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,6459363F8D6F4D05,1,1
We Die Young (Demo),Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,E06D3B3EB1373E60,2,1
Man In The Box,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,69994EE031F8DFB0,3,1
Them Bones,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,24A04547B44F3541,4,1
Iron Gland,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,54D1EBE86DCAAAD8,5,1
Angry Chair,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,F66D62E1D0003016,6,1
Down In A Hole,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,2ADAAFAF3B7E03BD,7,1
Rooster [Live],Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,B86B8933BC7CB5A0,8,1
Got Me Wrong,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,DC9DD2BAFB8660D5,9,1
No Excuses,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,904795BF9DC98F85,10,1
I Stay Away,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,ECFE2A3B4FDAD459,11,1
What The Hell Have I,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,785F277A36CEAA9F,12,1
Grind,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,B990E2DD1F4D12E1,13,1
Again,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,6CB606C483F22ED6,14,1
Would?,Alice In Chains,Alice In Chains,Nothing Safe: Best Of The Box,0,A3FE4E909561FF12,15,1
Brother,Alice In Chains,Alice In Chains,Sap [EP],0,007BE9C663C0048A,1,1
Got Me Wrong,Alice In Chains,Alice In Chains,Sap [EP],0,61FF2E900328ED17,2,1
Right Turn,Alice In Chains,Alice In Chains,Sap [EP],0,999AD56CFC8C09DE,3,1
I Am Inside,Alice In Chains,Alice In Chains,Sap [EP],0,0F686B2B28E7E5FD,4,1
(Untitled),Alice In Chains,Alice In Chains,Sap [EP],0,C97D8B28C5422D57,5,1
